Row,Col
469,1493
470,470
470,1366
470,1494
471,471
471,1367
471,1495
472,472
472,1368
472,1496
473,473
473,1369
473,1497
474,474
474,1370
474,1498
475,475
475,1371
475,1499
476,476
476,1372
476,1500
477,477
477,1373
477,1501
478,478
478,1374
478,1502
479,479
479,1375
479,1503
480,480
480,1376
480,1504
481,481
481,1377
481,1505
482,482
482,1378
482,1506
483,483
483,1379
483,1507
484,484
484,1380
484,1508
485,485
485,1381
485,1509
486,486
486,1382
486,1510
487,487
487,1383
487,1511
488,488
488,1384
488,1512
489,489
489,1385
489,1513
490,490
490,1386
490,1514
491,491
491,1387
491,1515
492,492
492,1388
492,1516
493,493
493,1389
493,1517
494,494
494,1390
494,1518
495,495
495,1391
495,1519
496,496
496,1392
496,1520
497,497
497,1393
497,1521
498,498
498,1394
498,1522
499,499
499,1395
499,1523
500,500
500,1396
500,1524
501,501
501,1397
501,1525
502,502
502,1398
502,1526
503,503
503,1399
503,1527
504,504
504,1400
504,1528
505,505
505,1401
505,1529
506,506
506,1402
506,1530
507,507
507,1403
507,1531
508,508
508,1404
508,1532
509,509
509,1405
509,1533
510,510
510,1406
510,1534
511,511
511,1407
511,1535
512,512
512,1127
512,1257
512,1280
513,513
513,1128
513,1258
513,1281
514,514
514,1129
514,1259
514,1282
515,515
515,1130
515,1260
515,1283
516,516
516,1131
516,1261
516,1284
517,517
517,1132
517,1262
517,1285
518,518
518,1133
518,1263
518,1286
519,519
519,1134
519,1264
519,1287
520,520
520,1135
520,1265
520,1288
521,521
521,1136
521,1266
521,1289
522,522
522,1137
522,1267
522,1290
523,523
523,1138
523,1268
523,1291
524,524
524,1139
524,1269
524,1292
525,525
525,1140
525,1270
525,1293
526,526
526,1141
526,1271
526,1294
527,527
527,1142
527,1272
527,1295
528,528
528,1143
528,1273
528,1296
529,529
529,1144
529,1274
529,1297
530,530
530,1145
530,1275
530,1298
531,531
531,1146
531,1276
531,1299
532,532
532,1147
532,1277
532,1300
533,533
533,1148
533,1278
533,1301
534,534
534,1149
534,1279
534,1302
535,535
535,1150
535,1152
